Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

01:28:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:28:09 PM     all      3.04      0.00      4.48      0.28      0.00     92.20
01:28:09 PM       0      0.60      0.00      4.61      5.01      0.00     89.78
01:28:09 PM       1      0.60      0.00      4.60      0.00      0.00     94.80
01:28:09 PM       2      1.80      0.00      4.39      0.00      0.00     93.81
01:28:09 PM       3      1.00      0.00      4.20      0.00      0.00     94.80
01:28:09 PM       4      0.20      0.00      5.00      0.00      0.00     94.80
01:28:09 PM       5      2.80      0.00      4.00      0.00      0.00     93.20
01:28:09 PM       6      0.60      0.00      4.79      0.00      0.00     94.61
01:28:09 PM       7      0.80      0.00      4.40      0.00      0.00     94.80
01:28:09 PM       8      0.60      0.00      4.59      0.00      0.00     94.81
01:28:09 PM       9     44.31      0.00      2.00      0.20      0.00     53.49
01:28:09 PM      10      0.60      0.00      4.60      0.00      0.00     94.80
01:28:09 PM      11      0.40      0.00      4.60      0.00      0.00     95.00
01:28:09 PM      12      0.60      0.00      4.60      0.00      0.00     94.80
01:28:09 PM      13      0.60      0.00      4.59      0.00      0.00     94.81
01:28:09 PM      14      0.40      0.00      4.80      0.00      0.00     94.80
01:28:09 PM      15      0.60      0.00      4.60      0.00      0.00     94.80
01:28:09 PM      16      0.40      0.00      4.82      0.00      0.00     94.78
01:28:09 PM      17      0.60      0.00      4.59      0.00      0.00     94.81
01:28:09 PM      18      0.60      0.00      4.41      0.00      0.00     94.99
01:28:09 PM      19      0.60      0.00      4.79      0.00      0.00     94.61
01:28:09 PM      20      0.40      0.00      4.60      0.00      0.00     95.00
01:28:09 PM      21      1.40      0.00      4.79      0.00      0.00     93.81
01:28:09 PM      22      0.60      0.00      4.59      0.00      0.00     94.81
01:28:09 PM      23      1.20      0.00      4.20      0.00      0.00     94.60
01:28:09 PM      24      0.80      0.00      4.40      0.00      0.00     94.80
01:28:09 PM      25     29.60      0.00      5.20      3.80      0.00     61.40
01:28:09 PM      26      1.00      0.00      4.01      0.00      0.00     94.99
01:28:09 PM      27      0.20      0.00      4.80      0.00      0.00     95.00
01:28:09 PM      28      0.80      0.00      4.59      0.00      0.00     94.61
01:28:09 PM      29      1.20      0.00      4.00      0.00      0.00     94.80
01:28:09 PM      30      0.40      0.00      4.80      0.00      0.00     94.80
01:28:09 PM      31      0.80      0.00      4.40      0.00      0.00     94.80

01:28:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:28:14 PM     all      3.85      0.00      0.11      0.29      0.00     95.74
01:28:14 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
01:28:14 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
