Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

12:56:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:14 PM     all      3.60      0.00      4.36      0.17      0.00     91.87
12:56:14 PM       0      1.20      0.00      4.21      0.00      0.00     94.59
12:56:14 PM       1      0.80      0.00      4.41      0.00      0.00     94.79
12:56:14 PM       2      1.00      0.00      4.40      0.00      0.00     94.60
12:56:14 PM       3      0.80      0.00      4.21      0.00      0.00     94.99
12:56:14 PM       4      1.00      0.00      6.80      0.00      0.00     92.20
12:56:14 PM       5      1.00      0.00      4.59      0.00      0.00     94.41
12:56:14 PM       6      0.80      0.00      4.40      0.00      0.00     94.80
12:56:14 PM       7      0.60      0.00      4.42      0.00      0.00     94.98
12:56:14 PM       8      1.00      0.00      4.00      0.00      0.00     95.00
12:56:14 PM       9     86.60      0.00      1.80      0.00      0.00     11.60
12:56:14 PM      10      0.80      0.00      4.39      0.00      0.00     94.81
12:56:14 PM      11      0.80      0.00      4.40      0.00      0.00     94.80
12:56:14 PM      12      0.60      0.00      4.40      0.00      0.00     95.00
12:56:14 PM      13      0.60      0.00      4.61      0.00      0.00     94.79
12:56:14 PM      14      0.60      0.00      4.79      0.00      0.00     94.61
12:56:14 PM      15      0.40      0.00      4.61      0.00      0.00     94.99
12:56:14 PM      16      1.20      0.00      4.01      0.00      0.00     94.79
12:56:14 PM      17      4.21      0.00      4.41      0.00      0.00     91.38
12:56:14 PM      18      1.00      0.00      4.21      5.41      0.00     89.38
12:56:14 PM      19      0.80      0.00      4.60      0.00      0.00     94.60
12:56:14 PM      20      0.80      0.00      4.21      0.00      0.00     94.99
12:56:14 PM      21      0.40      0.00      4.80      0.00      0.00     94.80
12:56:14 PM      22      1.20      0.00      4.00      0.00      0.00     94.80
12:56:14 PM      23      0.60      0.00      4.60      0.00      0.00     94.80
12:56:14 PM      24      0.80      0.00      4.40      0.00      0.00     94.80
12:56:14 PM      25      1.20      0.00      4.00      0.00      0.00     94.80
12:56:14 PM      26      0.80      0.00      4.20      0.00      0.00     95.00
12:56:14 PM      27      0.80      0.00      4.21      0.00      0.00     94.99
12:56:14 PM      28      1.00      0.00      4.20      0.00      0.00     94.80
12:56:14 PM      29      0.40      0.00      4.61      0.00      0.00     94.99
12:56:14 PM      30      0.60      0.00      4.41      0.00      0.00     94.99
12:56:14 PM      31      0.80      0.00      4.20      0.00      0.00     95.00

12:56:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:56:19 PM     all      0.91      0.00      0.16      0.58      0.00     98.35
12:56:19 PM       0      1.00      0.00      0.60      0.00      0.00     98.39
12:56:19 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM       2      0.00      0.00      0.20      0.00      0.00     99.80
12:56:19 PM       3      0.00      0.00      0.20      0.00      0.00     99.80
12:56:19 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM       5      0.00      0.00      0.40      0.00      0.00     99.60
12:56:19 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM       7      0.20      0.00      0.40      0.00      0.00     99.40
12:56:19 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM       9     26.45      0.00      1.00     18.44      0.00     54.11
12:56:19 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM      11      0.00      0.00      0.20      0.00      0.00     99.80
12:56:19 PM      12      0.00      0.00      0.20      0.00      0.00     99.80
12:56:19 PM      13      0.00      0.00      0.20      0.00      0.00     99.80
12:56:19 PM      14      0.20      0.00      0.20      0.00      0.00     99.60
12:56:19 PM      15      0.00      0.00      0.20      0.00      0.00     99.80
12:56:19 PM      16      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM      17      0.40      0.00      0.00      0.00      0.00     99.60
12:56:19 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
12:56:19 PM      19      0.00      0.00      0.20      0.00      0.00     99.80
